tSNE_1	tSNE_2	use.colors	cells
IL4_Cells_118	-9.32729546400835	8.4206100351118	#87ceeb	NN_1
IL4_Cells_126	-15.4741629106449	14.0033678724157	#87ceeb	NN_1
IL4_Cells_132	-20.5100446979446	7.54200569799306	#87ceeb	NN_1
IL4_Cells_141	-9.94965621663111	9.06135468000756	#87ceeb	NN_1
IL4_Cells_143	1.22798752367934	10.4649115169644	#87ceeb	NN_1
IL4_Cells_144	-0.186589174925029	5.72208888501003	#87ceeb	NN_1
IL4_Cells_161	-1.02172046717361	13.860496042413	#87ceeb	NN_1
IL4_Cells_197	-20.4705329447306	5.42890539009264	#87ceeb	NN_1
IL4_Cells_217	-15.3657927473902	14.082814774902	#87ceeb	NN_1
IL4_Cells_263	-2.70842098564608	6.99375810094542	#87ceeb	NN_1
IL4_Cells_264	-17.7716226290422	1.98609696049793	#87ceeb	NN_1
IL4_Cells_266	-9.95644625716643	9.04197208328572	#87ceeb	NN_1
IL4_Cells_272	0.60213980001471	8.02063206335083	#87ceeb	NN_1
IL4_Cells_276	0.502289385996987	4.61940744454974	#87ceeb	NN_1
IL4_Cells_293	1.47129855233957	5.61695869461477	#87ceeb	NN_1
IL4_Cells_314	-3.34839102925253	13.6196002576913	#87ceeb	NN_1
IL4_Cells_327	-17.5450379530185	2.11018712392518	#87ceeb	NN_1
IL4_Cells_339	-8.65463086016025	16.2973029999207	#87ceeb	NN_1
IL4_Cells_348	-18.3086388005698	5.97515771476964	#87ceeb	NN_1
IL4_Cells_375	-16.656441774595	8.81348048829696	#87ceeb	NN_1
IL4_Cells_395	-5.28312203279921	13.3438195440802	#87ceeb	NN_1
IL4_Cells_401	-1.20937428723247	-11.1246305123619	#87ceeb	NN_1
IL4_Cells_405	-14.4448516864236	8.40911521223211	#87ceeb	NN_1
IL4_Cells_407	-5.1360766361291	5.30014384769513	#87ceeb	NN_1
IL4_Cells_436	-0.839451650985066	8.3618169577131	#87ceeb	NN_1
IL4_Cells_438	-6.36543171084669	10.0800470246428	#87ceeb	NN_1
IL4_Cells_442	-0.98676305443664	6.57321314743034	#87ceeb	NN_1
IL4_Cells_459	-5.36676820669879	12.9649483160974	#87ceeb	NN_1
IL4_Cells_482	-2.38274118931046	3.22439528014698	#87ceeb	NN_1
IL4_Cells_499	-15.8912657406969	8.73676187166422	#87ceeb	NN_1
IL4_Cells_551	-11.6982036826036	11.8587719713747	#87ceeb	NN_1
IL4_Cells_563	-6.66527694391993	8.65774235254924	#87ceeb	NN_1
IL4_Cells_600	-20.084659105483	2.40346083735012	#87ceeb	NN_1
IL4_Cells_617	0.327188016888461	6.83916067839697	#87ceeb	NN_1
IL4_Cells_645	-7.08977484954237	6.1267624906614	#87ceeb	NN_1
IL4_Cells_657	-0.0916243066435929	4.81192121895809	#87ceeb	NN_1
AB42_Cells_61	-8.13775167156766	11.681141166858	#87ceeb	NN_1
AB42_Cells_67	-9.42826229134892	5.18245596469128	#87ceeb	NN_1
AB42_Cells_80	-11.7636258143269	8.4477225418295	#87ceeb	NN_1
AB42_Cells_82	-15.1128651165644	10.4937448418123	#87ceeb	NN_1
AB42_Cells_100	-12.2871690092451	9.93144334032607	#87ceeb	NN_1
AB42_Cells_114	-10.8464770277503	5.79797528037727	#87ceeb	NN_1
AB42_Cells_131	-2.57167246405667	11.1597346766881	#87ceeb	NN_1
AB42_Cells_168	-18.696315714349	2.29599230357719	#87ceeb	NN_1
AB42_Cells_169	-15.4405269450596	10.2702795645484	#87ceeb	NN_1
AB42_Cells_176	-12.3499300651081	12.0894712460686	#87ceeb	NN_1
AB42_Cells_177	-11.0712813437421	6.74932312199174	#87ceeb	NN_1
AB42_Cells_180	-19.7002104706152	4.13507096791446	#87ceeb	NN_1
AB42_Cells_198	-10.7306308493614	13.713824212469	#87ceeb	NN_1
AB42_Cells_204	-10.9548447605777	5.87245611103864	#87ceeb	NN_1
AB42_Cells_212	-17.500643102089	4.52496993092501	#87ceeb	NN_1
AB42_Cells_304	-5.51622312767286	10.9598991751474	#87ceeb	NN_1
AB42_Cells_310	-16.3816328967362	8.69837437242353	#87ceeb	NN_1
AB42_Cells_313	-18.3372248586189	2.11863175812588	#87ceeb	NN_1
AB42_Cells_314	-11.8346291952898	11.2433274210739	#87ceeb	NN_1
AB42_Cells_317	-10.723984600388	6.97045567311795	#87ceeb	NN_1
AB42_Cells_323	1.28472235994291	3.03089164876747	#87ceeb	NN_1
AB42_Cells_342	-6.02758252979449	8.18759738091203	#87ceeb	NN_1
AB42_Cells_345	-10.0981701130349	5.16401325797668	#87ceeb	NN_1
AB42_Cells_396	1.83260241713424	5.43324947512377	#87ceeb	NN_1
AB42_Cells_400	-11.0735975334638	6.1863556604013	#87ceeb	NN_1
AB42_Cells_403	-7.34800310856874	11.453052152159	#87ceeb	NN_1
AB42_Cells_406	-17.6479638691834	4.34284521575058	#87ceeb	NN_1
AB42_Cells_461	-0.100297098919091	13.6588397958373	#87ceeb	NN_1
AB42_Cells_468	-20.3603629967627	2.77358751511884	#87ceeb	NN_1
AB42_Cells_472	-9.78695054151535	4.54910205176163	#87ceeb	NN_1
AB42_Cells_520	-13.0967166653928	9.16349930713779	#87ceeb	NN_1
AB42_Cells_553	-3.47782296977724	7.3322857897095	#87ceeb	NN_1
AB42_Cells_634	-1.99763263055919	7.78874955004685	#87ceeb	NN_1
AB42_Cells_635	-4.7455121094311	7.46299343105434	#87ceeb	NN_1
AB42_Cells_645	-8.57188102355363	9.85005944550495	#87ceeb	NN_1
AB42_Cells_648	-2.85683661085063	16.1618206439979	#87ceeb	NN_1
AB42_Cells_665	-8.03883730906647	13.5468629096454	#87ceeb	NN_1
AB42_Cells_667	-3.54761857049133	16.6942283777414	#87ceeb	NN_1
AB42_Cells_688	-9.21406734929414	15.4735160017271	#87ceeb	NN_1
AB42_Cells_703	-3.52613805765573	12.706093766969	#87ceeb	NN_1
AB42_Cells_758	-1.84732907755196	12.6609529701409	#87ceeb	NN_1
AB42_Cells_823	-11.4405993385852	5.59423201680633	#87ceeb	NN_1
AB42_Cells_829	-20.3468794140369	5.40843142931298	#87ceeb	NN_1
AB42_Cells_847	2.18075754279536	3.9088909083366	#87ceeb	NN_1
AB42_Cells_882	-0.369751280331299	9.78978544123701	#87ceeb	NN_1
