tSNE_1	tSNE_2	use.colors	cells
AB42_Cells_774	-11.2172763668231	-20.4818571056717	#ff0000	NN_0
AB42_Cells_776	-8.7564962237288	-17.8065431113733	#ff0000	NN_0
AB42_Cells_784	-10.7731161565715	1.9729361065026	#ff0000	NN_0
AB42_Cells_792	-18.5286801294369	7.56269747689967	#ff0000	NN_0
AB42_Cells_805	-10.8136618146994	1.97376131213329	#ff0000	NN_0
AB42_Cells_814	-11.1331539628686	1.66097105392859	#ff0000	NN_0
AB42_Cells_830	-13.4135219814804	0.49741960750128	#ff0000	NN_0
AB42_Cells_835	-21.2375167914555	-4.10724054920168	#ff0000	NN_0
AB42_Cells_851	-10.2415836675577	1.69873193023446	#ff0000	NN_0
AB42_Cells_855	-23.4040626952779	1.59269259033395	#ff0000	NN_0
AB42_Cells_863	-15.3214922158193	-2.95624337204331	#ff0000	NN_0
AB42_Cells_869	-12.486003691501	1.22414181781392	#ff0000	NN_0
AB42_Cells_871	-25.950628609683	7.65173117487793	#ff0000	NN_0
AB42_Cells_877	-19.3774016279845	-2.82045661960909	#ff0000	NN_0
AB42_Cells_885	-28.0473725602443	0.126528882300529	#ff0000	NN_0
AB42_Cells_911	-19.1314437175332	-3.10845251209335	#ff0000	NN_0
AB42_Cells_921	-20.0857271061395	-3.62083164586428	#ff0000	NN_0
AB42_Cells_925	-15.9333135561766	6.59467144557956	#ff0000	NN_0
AB42_Cells_928	-21.0304815344661	-6.25507205955771	#ff0000	NN_0
AB42_Cells_951	-26.5906196194578	5.7144176242892	#ff0000	NN_0
AB42_Cells_967	-12.5608804800504	0.824019196983244	#ff0000	NN_0
AB42_Cells_976	-28.9200289322953	5.13602872020063	#ff0000	NN_0
AB42_Cells_983	-27.3166798816836	-0.652946733630489	#ff0000	NN_0
AB42_Cells_1003	-13.0327629314352	1.87414863293583	#ff0000	NN_0
AB42_Cells_1017	-18.6527621736676	8.21096076889973	#ff0000	NN_0
AB42_Cells_1035	-22.5378527458855	-5.58004571337642	#ff0000	NN_0
AB42_Cells_1036	-20.3599705265534	-3.51860688053637	#ff0000	NN_0
AB42_Cells_1058	-26.9186879161593	6.70685657112983	#ff0000	NN_0
AB42_Cells_1059	-18.186539022881	8.34498958839652	#ff0000	NN_0
AB42_Cells_1060	-29.2712450994451	3.64986007392375	#ff0000	NN_0
AB42_Cells_1062	-2.14578845084532	-16.1145775789273	#ff0000	NN_0
AB42_Cells_1071	-27.4154333079141	6.35881295335785	#ff0000	NN_0
AB42_Cells_1084	-19.935015337272	8.72859051865873	#ff0000	NN_0
AB42_Cells_1096	-12.7984119902654	0.789121458500672	#ff0000	NN_0
AB42_Cells_1101	-26.9486941851322	7.56888297683739	#ff0000	NN_0
AB42_Cells_1102	-25.2260333120649	8.16532658380132	#ff0000	NN_0
AB42_Cells_1108	-23.3585417663155	1.17040303957478	#ff0000	NN_0
AB42_Cells_1116	-27.0227539643938	0.231345968625038	#ff0000	NN_0
AB42_Cells_1118	-26.104237268484	5.4498591844842	#ff0000	NN_0
AB42_Cells_1133	-8.68941048008104	-8.69792684291993	#ff0000	NN_0
AB42_Cells_1144	-26.963566619667	0.0237891173168872	#ff0000	NN_0
AB42_Cells_1147	-28.132351143065	4.82838994386696	#ff0000	NN_0
AB42_Cells_1165	-21.2371331844689	-4.10303960137917	#ff0000	NN_0
PBS_Cells_2	-19.7279229819798	3.81814106245712	#87ceeb	NN_1
PBS_Cells_4	-15.5463864484003	-4.733435224391	#87ceeb	NN_1
PBS_Cells_5	-10.5695988486846	-1.60372758233964	#87ceeb	NN_1
PBS_Cells_56	-16.4377772086676	5.66608683084132	#87ceeb	NN_1
PBS_Cells_60	-27.7004180164405	-4.92010499700116	#87ceeb	NN_1
PBS_Cells_77	-15.2045900694553	-5.05775309296156	#87ceeb	NN_1
PBS_Cells_78	-28.1667560074008	-2.9942812438539	#87ceeb	NN_1
PBS_Cells_95	-19.3495827947471	2.65911324933366	#87ceeb	NN_1
PBS_Cells_122	-31.7897239984563	1.63288593553002	#87ceeb	NN_1
